raw,dow,date,home,away,venue,pool
"Fri 8 Sept France 27-13 New Zealand (Stade de France, Paris)",Fri,2023-09-08,France,New Zealand,"Stade de France, Paris",A
"Sat 9 Sept Italy 52-8 Namibia (Stade Geoffroy Guichard, Saint-Étienne)",Sat,2023-09-09,Italy,Namibia,"Stade Geoffroy Guichard, Saint-Étienne",A
"Thu 14 Sept France v Uruguay (8pm, Stade Pierre Mauroy, Lille)",Thu,2023-09-14,France,Uruguay,"Stade Pierre Mauroy, Lille",A
"Fri 15 Sept New Zealand v Namibia (8pm, Stadium de Toulouse, Toulouse)",Fri,2023-09-15,New Zealand,Namibia,"Stadium de Toulouse, Toulouse",A
"Wed 20 Sept Italy v Uruguay (4.45pm, Stade de Nice, Nice)",Wed,2023-09-20,Italy,Uruguay,"Stade de Nice, Nice",A
"Thu 21 Sept France v Namibia (8pm, Stade Vélodrome, Marseille)",Thu,2023-09-21,France,Namibia,"Stade Vélodrome, Marseille",A
"Wed 27 Sept Uruguay v Namibia (4.45pm, Parc OL, Lyon)",Wed,2023-09-27,Uruguay,Namibia,"Parc OL, Lyon",A
"Fri 29 Sept New Zealand v Italy (8pm, Parc OL, Lyon)",Fri,2023-09-29,New Zealand,Italy,"Parc OL, Lyon",A
"Thu 5 Oct New Zealand v Uruguay (8pm, Parc OL, Lyon)",Thu,2023-10-05,New Zealand,Uruguay,"Parc OL, Lyon",A
"Fri 6 Oct France v Italy (8pm, Parc OL, Lyon)",Fri,2023-10-06,France,Italy,"Parc OL, Lyon",A
"Sat 9 Sept Ireland 82-8 Romania (Stade de Bordeaux, Bordeaux)",Sat,2023-09-09,Ireland,Romania,"Stade de Bordeaux, Bordeaux",B
"Sun 10 Sept South Africa v Scotland (4.45pm, Stade Vélodrome, Marseille)",Sun,2023-09-10,South Africa,Scotland,"Stade Vélodrome, Marseille",B
"Sat 16 Sept Ireland v Tonga (8pm, Stade de la Beaujoire, Nantes)",Sat,2023-09-16,Ireland,Tonga,"Stade de la Beaujoire, Nantes",B
"Sun 17 Sept South Africa v Romania (2pm, Stade de Bordeaux, Bordeaux)",Sun,2023-09-17,South Africa,Romania,"Stade de Bordeaux, Bordeaux",B
"Sat 23 Sept South Africa v Ireland (8pm, Stade de France, Paris)",Sat,2023-09-23,South Africa,Ireland,"Stade de France, Paris",B
